Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date
tt11997928,7,15/04/2020,"Tiger King: Murder, Mayhem and Madness: The Noble Thing to Do",https://www.imdb.com/title/tt11997928/,tvEpisode,7.5,44,2020,Documentary,1332,20/03/2020
tt11997930,7,15/04/2020,"Tiger King: Murder, Mayhem and Madness: Dethroned",https://www.imdb.com/title/tt11997930/,tvEpisode,7.6,41,2020,Documentary,1296,20/03/2020
tt1201607,8,07/12/2016,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,movie,8.1,130,2011,Adventure,729593,07/07/2011
tt0120363,8,10/09/2016,Toy Story 2,https://www.imdb.com/title/tt0120363/,movie,7.9,92,1999,Animation,506383,13/11/1999
tt0120382,7,18/10/2018,The Truman Show,https://www.imdb.com/title/tt0120382/,movie,8.1,103,1998,Comedy,889419,01/06/1998
tt1204977,6,27/12/2016,Ouija,https://www.imdb.com/title/tt1204977/,movie,4.5,89,2014,Horror,46126,23/10/2014
tt0120714,7,14/04/2020,The Interview,https://www.imdb.com/title/tt0120714/,movie,7.1,104,1998,Thriller,7141,20/08/1998
tt0120815,9,27/08/2016,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,Drama,1181113,21/07/1998
tt1210166,7,22/04/2020,Moneyball,https://www.imdb.com/title/tt1210166/,movie,7.6,133,2011,Biography,345886,09/09/2011
tt1211837,7,02/04/2017,Doctor Strange,https://www.imdb.com/title/tt1211837/,movie,7.5,115,2016,Action,565155,13/10/2016
tt1212784,6,11/07/2017,My Name Is Earl: My Name Is Inmate #28301-016: Part 2,https://www.imdb.com/title/tt1212784/,tvEpisode,8,21,2007,Comedy,343,27/09/2007
tt1213663,7,27/08/2016,The World's End,https://www.imdb.com/title/tt1213663/,movie,7,109,2013,Action,249169,10/07/2013
tt1216475,6,24/08/2017,Cars 2,https://www.imdb.com/title/tt1216475/,movie,6.1,106,2011,Animation,151153,18/06/2011
tt1220617,9,29/04/2017,The Inbetweeners,https://www.imdb.com/title/tt1220617/,tvSeries,8.4,25,2008,Comedy,76397,26/01/2008
tt1221733,7,02/09/2019,Peep Show: Burgling,https://www.imdb.com/title/tt1221733/,tvEpisode,8,24,2008,Comedy,409,02/05/2008
tt1226251,7,22/05/2017,Gekijô ban poketto monsutâ: Daiamondo pâru - Diaruga vs Parukia vs Dâkurai,https://www.imdb.com/title/tt1226251/,movie,6.5,95,2007,Animation,2696,14/07/2007
tt1226271,7,02/06/2017,The Damned United,https://www.imdb.com/title/tt1226271/,movie,7.5,98,2009,Biography,39923,27/03/2009
tt1228323,8,16/07/2017,The Inbetweeners: Bunk Off,https://www.imdb.com/title/tt1228323/,tvEpisode,8.6,24,2008,Comedy,952,01/05/2008
tt1228324,7,16/07/2017,The Inbetweeners: First Day,https://www.imdb.com/title/tt1228324/,tvEpisode,7.8,22,2008,Comedy,952,26/01/2008
tt1231048,8,02/09/2019,Peep Show: Spin War,https://www.imdb.com/title/tt1231048/,tvEpisode,8.4,24,2008,Comedy,395,09/05/2008
tt1232244,8,25/06/2018,Breaking Bad: Seven Thirty-Seven,https://www.imdb.com/title/tt1232244/,tvEpisode,8.7,47,2009,Crime,13778,08/03/2009
tt1232245,8,25/06/2018,Breaking Bad: Over,https://www.imdb.com/title/tt1232245/,tvEpisode,8.6,47,2009,Crime,12771,10/05/2009
tt1232246,8,25/06/2018,Breaking Bad: Mandala,https://www.imdb.com/title/tt1232246/,tvEpisode,8.9,47,2009,Crime,13226,17/05/2009
tt1232247,8,25/06/2018,Breaking Bad: Phoenix,https://www.imdb.com/title/tt1232247/,tvEpisode,9.3,47,2009,Crime,14869,24/05/2009
tt1232248,8,25/06/2018,Breaking Bad: ABQ,https://www.imdb.com/title/tt1232248/,tvEpisode,9.3,48,2009,Crime,14870,31/05/2009
tt1232249,8,25/06/2018,Breaking Bad: Grilled,https://www.imdb.com/title/tt1232249/,tvEpisode,9.3,46,2009,Crime,16087,15/03/2009
tt1232250,8,25/06/2018,Breaking Bad: Bit by a Dead Bee,https://www.imdb.com/title/tt1232250/,tvEpisode,8.4,47,2009,Crime,13375,22/03/2009
tt1232251,8,25/06/2018,Breaking Bad: Down,https://www.imdb.com/title/tt1232251/,tvEpisode,8.3,47,2009,Crime,13519,29/03/2009
tt1232252,8,25/06/2018,Breaking Bad: Breakage,https://www.imdb.com/title/tt1232252/,tvEpisode,8.4,47,2009,Crime,13111,05/04/2009
tt1232253,8,25/06/2018,Breaking Bad: Peekaboo,https://www.imdb.com/title/tt1232253/,tvEpisode,8.9,47,2009,Crime,14496,12/04/2009
tt1232254,8,25/06/2018,Breaking Bad: Negro Y Azul,https://www.imdb.com/title/tt1232254/,tvEpisode,8.7,47,2009,Crime,13044,19/04/2009
tt1232255,8,25/06/2018,Breaking Bad: Better Call Saul,https://www.imdb.com/title/tt1232255/,tvEpisode,9.2,47,2009,Crime,15357,26/04/2009
tt1232256,8,25/06/2018,Breaking Bad: 4 Days Out,https://www.imdb.com/title/tt1232256/,tvEpisode,9.1,47,2009,Crime,14941,03/05/2009
tt1232829,7,24/10/2016,21 Jump Street,https://www.imdb.com/title/tt1232829/,movie,7.2,109,2012,Action,495984,12/03/2012
tt1233227,6,27/08/2016,Saw VI,https://www.imdb.com/title/tt1233227/,movie,6,90,2009,Adventure,98052,22/10/2009
tt1234115,7,02/09/2019,Peep Show: Jeremy's Broke,https://www.imdb.com/title/tt1234115/,tvEpisode,7.8,25,2008,Comedy,373,16/05/2008
tt1234116,7,02/09/2019,Peep Show: Jeremy's Mummy,https://www.imdb.com/title/tt1234116/,tvEpisode,8.2,24,2008,Comedy,378,23/05/2008
tt1234117,7,02/09/2019,Peep Show: Jeremy's Manager,https://www.imdb.com/title/tt1234117/,tvEpisode,8.2,25,2008,Comedy,372,30/05/2008
tt1234118,8,02/09/2019,Peep Show: Mark's Women,https://www.imdb.com/title/tt1234118/,tvEpisode,8.3,26,2008,Comedy,370,06/06/2008
